Camname,Camctg,Camlat,Camlon,Camnewadd,Camoldadd,Camtel,Camsite,Campark,Camconv
솔바람캠핑장,야영장,37.9040548,127.3745892,경기도 가평군 조종면 명지산로 337-62,"경기도 가평군 조종면 상판리 481-1, 481-2",031-585-1716,37,12,전기시설+상하수도시설+샤워실+화장실
리아트파크청평원,야영장,37.7000776,127.3952601,경기도 가평군 청평면 북한강로 2060-13,경기도 가평군 청평면 삼회리 185-8,031-932-8188,7,2,전기시설+상하수도시설+샤워실+화장실
하늘숲캠핑장,야영장,37.7766567,127.5091376,경기도 가평군 가평읍 호반로 2092,경기도 가평군 가평읍 이화리 93,031-582-9305,29,10,전기시설+상하수도시설+샤워실+화장실
별드림캠핑장,야영장,37.8725118,127.5656536,경기도 가평군 가평읍 당목가일길 515,경기도 가평군 가평읍 개곡리 198-1,000-0000-0000,12,4,전기시설+상하수도시설+샤워실+화장실
하늘숲글램핑,야영장,37.904449,127.5619854,경기도 가평군 북면 화악산로 254-38,경기도 가평군 북면 소법리 152-4,000-0000-0000,31,10,전기시설+상하수도시설+샤워실+화장실
가평사과나무캠핑장,야영장,37.7896507,127.3581443,경기도 가평군 상면 항사리 427-5,경기도 가평군 상면 항사리 427-5,000-0000-0000,8,3,전기시설+상하수도시설+샤워실+화장실
이지캠핑장,야영장,37.6954204,127.4600908,경기도 가평군 설악면 유명로 2110,경기도 가평군 설악면 회곡리 371,000-0000-0000,30,10,전기시설+상하수도시설+샤워실+화장실
남이섬힐링캠핑장,야영장,37.7721855,127.5362677,경기도 가평군 가평읍 북한강변로 516,경기도 가평군 가평읍 금대리 303-2,031-271-0406,8,3,전기시설+상하수도시설+샤워실+화장실
리버뷰캠핑장,야영장,37.740298,127.4998592,경기도 가평군 가평읍 상지로 949,경기도 가평군 가평읍 복장리 580-3,000-0000-0000,15,5,전기시설+상하수도시설+샤워실+화장실
펠리즈글램핑,야영장,37.7468009,127.5253293,경기도 가평군 가평읍 북한강변로 154,경기도 가평군 가평읍 금대리 583-2,000-0000-0000,5,2,전기시설+상하수도시설+샤워실+화장실
산장관광지,야영장,37.7541277,127.4106146,경기도 가평군 상면 덕현산장길 71 산장관광지,경기도 가평군 상면 덕현리 산74-5 외 1필지,031-8078-8057,47,16,전기시설+상하수도시설+샤워실+화장실
네스트캠핑장,야영장,37.936248,127.5414665,경기도 가평군 북면 화악산로 943-50,경기도 가평군 북면 화악리 750외 2필지,000-0000-0000,16,5,전기시설+상하수도시설+샤워실+화장실
힐링가평오토캠핑장,야영장,37.7568548,127.4035599,경기도 가평군 상면 청군로 316,경기도 가평군 상면 덕현리 159-12외 4필지,000-0000-0000,9,3,전기시설+상하수도시설+샤워실+화장실
올래 캠핑장,야영장,37.592346,127.5117476,경기도 가평군 설악면 어비산길 203,경기도 가평군 설악면 가일리 33,000-0000-0000,5,2,전기시설+상하수도시설+샤워실+화장실
산으로 간 니모 캠핑장,야영장,37.8545028,127.3970088,경기도 가평군 조종면 연인산로 670-321,경기도 가평군 조종면 마일리 71,000-0000-0000,7,2,전기시설+상하수도시설+샤워실+화장실
아담펜션&캠핑장,야영장,37.865937,127.556516,경기도 가평군 가평읍 당목가일길 410-68,경기도 가평군 가평읍 개곡리 382-3,000-0000-0000,7,7,전기시설+상하수도시설+샤워실+화장실
동화카라반,야영장,37.853148,127.508687,경기도 가평군 가평읍 가화로 440-151,경기도 가평군 가평읍 마장리 395-12,000-0000-0000,13,13,전기시설+상하수도시설+샤워실+화장실
가평뜰,야영장,37.631319,127.489466,경기도 가평군 설악면 뇌암길 49,경기도 가평군 설악면 천안리 18,000-0000-0000,15,25,전기시설+상하수도시설+샤워실+화장실
두밀숲캠핑장,야영장,37.818967,127.458632,경기도 가평군 가평읍 태봉두밀로 655-9,경기도 가평군 가평읍 두밀리 541-13,000-0000-0000,12,14,전기시설+상하수도시설+샤워실+화장실
늘푸른쉼터캠핑장,야영장,37.597179,127.497342,경기도 가평군 설악면 어비산길76,경기도 가평군 설악면 가일리 209,000-0000-0000,13,10,전기시설+상하수도시설+샤워실+화장실
캠핑포유캠핑장,야영장,37.937709,127.561213,경기도 가평군 북면 화악산로 686-57,경기도 가평군 북면 화악리 653,000-0000-0000,10,12,전기시설+상하수도시설+샤워실+화장실
라온캠핑장,야영장,37.592043,127.485447,경기도 가평군 호반로 740,경기도 가평군 청평면 호명리 344-6,000-0000-0000,6,7,전기시설+상하수도시설+샤워실+화장실
유명한캠핑장,야영장,37.599821,127.494439,경기도 가평군 설악면 어비산길 11,경기도 가평군 설악면 가일리 199,000-0000-0000,8,10,전기시설+상하수도시설+샤워실+화장실
엄소리오토캠핑장,야영장,37.656132,127.484259,경기도 가평군 설악면 묵안로 29,경기도 가평군 설악면 엄소리 423,000-0000-0000,10,10,전기시설+상하수도시설+샤워실+화장실
헬로우힐연인산캠핑장,야영장,37.845491,127.372226,경기도 가평군 조종면 연인산로 384,경기도 가평군 조종면 마일리 382-12,000-0000-0000,22,2,전기시설+상하수도시설+샤워실+화장실
엠글램핑,야영장,37.637607,127.475562,경기도 가평군 설악면 가마소길 17-500,경기도 가평군 설악면 천안리 714-1,000-0000-0000,21,10,전기시설+상하수도시설+샤워실+화장실
linkdog애견캠핑장,야영장,37.661038,127.489966,경기도 가평군 설악면 신천중앙로28번길 101-60,경기도 가평군 설악면 신천리 263-1,000-0000-0000,15,15,전기시설+상하수도시설+샤워실+화장실
고멧캠핑장,야영장,37.845313,127.486813,경기도 가평군 설악면 용추로 227-88,경기도 가평군 가평읍 승안리 263-4,000-0000-0000,13,20,전기시설+상하수도시설+샤워실+화장실
풍차캠핑장,야영장,37.591608,127.487674,경기도 가평군 설악면 유명산길 117-21,경기도 가평군 설악면 가일리 227,000-0000-0000,7,8,전기시설+상하수도시설+샤워실+화장실
느티나무캠핑장,야영장,37.911671,127.590972,경기도 가평군 북면 멱골로 235,경기도 가평군 북면 목동리 595-2,031-0000-0000,8,6,전기시설+상하수도시설+샤워실+화장실
구름위산책,야영장,37.836134,127.352978,경기도 가평군 조종면 운악청계로 238-38,경기도 가평군 조종면 현리 2-8,031-0000-0000,5,5,전기시설+상하수도시설+샤워실+화장실
에코프라미스,야영장,37.626953,127.513671,경기도 가평군 설악면 묵안로 596,경기도 가평군 설악면 설곡리 471-2,031-0000-0000,10,10,전기시설+상하수도시설+샤워실+화장실
오래캠핑장,야영장,37.902185,127.559213,경기도 가평군 북면 화악산로 233,경기도 가평군 북면 소법리 137-2,031-0000-0000,20,20,전기시설+상하수도시설+샤워실+화장실
부에노스아이레스,야영장,37.740271,127.499809,경기도 가평군 가평읍 상지로 949,경기도 가평군 가평읍 복장리 580-3,031-0000-0000,15,15,전기시설+상하수도시설+샤워실+화장실
산책,야영장,37.936961,127.525436,경기도 가평군 북면 화악산로 943-36,경기도 가평군 북면 화악리 754-6,031-0000-0000,6,6,전기시설+상하수도시설+샤워실+화장실
라무캠핑장,야영장,37.945416,127.489099,경기도 가평군 북면 가화로 2372-42,경기도 가평군 북면 도대리 324-10,031-0000-0000,9,9,전기시설+상하수도시설+샤워실+화장실
그라티아,야영장,37.815263,127.454753,경기도 가평군 가평읍 태봉두밀로 421-22,경기도 가평군 가평읍 두밀리 216,031-0000-0000,11,11,전기시설+상하수도시설+샤워실+화장실
어썸타운,야영장,37.723758,126.866969,경기도 고양시 덕양구 내유길 178-1,경기도 고양시 덕양구 내유동 15-3번지,031-965-5999,8,,매점+ 샤워실+개수시설+화장실
둥글이네,야영장,37.662317,126.9489355,경기도 고양시 덕양구 북한산로 387번길 45-12,경기도 고양시 덕양구 지축동 153번지,02-386-3638,6,,매점+ 샤워실+개수시설+화장실
킨텍스캠핑장,야영장,37.663651,126.738122,경기도 고양시 일산서구 킨텍스로 217-25,경기도 고양시 일산서구 대화동 2720번지,031-913-1700,86,,전기시설+샤워실+개수시설+화장실
광명도덕산캠핑장,야영장,37.4592358,126.8605362,경기도 광명시 밤일안로 42번길 69,경기도 광명시 하안동 549번지,02-2610-7370,42,65,상하수도시설+전기시설+화장실+샤워장+취수대+매점
김포한강오토캠핑장,자동차야영장,37.7033421,126.6544953,경기도 김포시 월하로912번길 64,경기도 김포시 하성면 전류리 167번지,031-989-1000,95,80,샤워실15
봉바위농원,야영장,37.7406421,126.611583,경기도 김포시 평화공원로70번길 290-97,경기도 김포시 하성면 가금리 396-1번지,031-983-5095,7,10,샤워실4
문수골산장,야영장,37.740257,126.5355384,,"경기도 김포시 월곶면 성동리 212-3, 4, 5번지",031-997-8959,40,40,샤워실16
김포황토테마파크,자동차야영장,37.7008491,126.6554141,,경기도 김포시 하성면 전류리 114번지,031-984-7428,11,10,샤워실3
동막골캠프,야영장,37.751002,126.5369799,경기도 김포시 문수산로252번길 19,경기도 김포시 월곶면 성동리 84번지,031-981-7433,16,20,샤워실2
김포예당캠핑장,야영장,37.7480874,126.5335602,경기도 김포시 문수산로 216,경기도 김포시 월곶면 성동리 152번지,031-989-3113,7,10,미상
솔내음캠핑장,야영장,37.6894886,126.5810027,경기도 김포시 절골로127번길 32-90,경기도 김포시 통진읍 옹정리 248-5번지,031-997-3775,49,30,샤워실4
덕포진누리마을캠핑장,야영장,37.6511312,126.5369813,경기도 김포시 덕포진로103번길 130-1,경기도 김포시 대곶면 신안리 228-2번지,031-988-5952,25,25,샤워실2
영농조합법인 김포관광농원,야영장,37.7475853,126.5597847,경기도 김포시 월곶면 용강로 325,경기도 김포시 월곶면 용강리 315-156번지,031-986-7608,69,70,샤워실30
양주글램핑코리아애견캠핑장,야영장,37.77432814,126.9614624,경기도 양주시 백석읍 권율로 848,경기도 양주시 백석읍 기산리 136-1번지 외3필지,070-7775-8681,15,,전기시설+상하수도시설+샤워실+화장실
양주시 미술관 옆 캠핑장,야영장,37.7308353,126.9484984,경기도 양주시 장흥면 권율로 185,경기도 양주시 장흥면 석현리 396-1번지,031-828-9881,42,,전기시설+상하수도시설+샤워실+화장실
양주산막골캠핑장,야영장,37.77494857,126.9375438,경기도 양주시 백석읍 기산로 414-20,경기도 양주시 백석읍 기산리 385번지,031-871-0058,28,,전기시설+상하수도시설+샤워실+화장실
대궐오토캠핑장,야영장,37.76864287,126.9395694,경기도 양주시 백석읍 기산로440번길 177,경기도 양주시 백석읍 기산리 364-4번지,031-871-8989,10,,전기시설+상하수도시설+샤워실+화장실
안태울캠핑장,야영장,37.87226861,126.9499685,경기도 양주시 광적면 화합로81번길 375-66,경기도 양주시 광적면 효촌리 230번지,031-871-1388,36,,전기시설+상하수도시설+샤워실+화장실
기산골캠핑장,야영장,37.77666649,126.9354629,경기도 양주시 백석읍 기산로 413,경기도 양주시 백석읍 기산리 393-2번지,031-871-9008,15,,전기시설+상하수도시설+샤워실+화장실
비타민캠핑장,야영장,37.7703519,126.937213,경기도 양주시 백석읍 기산로440번길 110-43,경기도 양주시 백석읍 기산리 370번지,031-871-3388,17,,전기시설+상하수도시설+샤워실+화장실
선녀와 나무꾼,야영장,37.82684744,127.046993,경기도 양주시 평화로1501번길 90 (덕계동),경기도 양주시 덕계동 540번지,031-863-2110,15,,전기시설+상하수도시설+샤워실+화장실
범산골캠핑장,야영장,37.80396347,126.9150362,경기도 양주시 광적면 부흥로 34-17,경기도 양주시 광적면 비암리 757-9번지,031-871-9708,26,,전기시설+상하수도시설+샤워실+화장실
캠프리카 캠핑장,야영장,37.77127678,126.9385729,경기도 양주시 백석읍 기산로440번길 127,경기도 양주시 백석읍 기산리 362번지,000-000-0000,20,,전기시설+상하수도시설+샤워실+화장실
일영무두리캠핑장,야영장,37.70045016,126.9468638,경기도 양주시 장흥면 유원지로 176-77,경기도 양주시 장흥면 삼상리 28-14번지,031-855-6102,19,,전기시설+상하수도시설+샤워실+화장실
휴리조트캠핑장,야영장,37.7848474,127.1014518,경기도 양주시 만송로366번길 215-31 (만송동),경기도 양주시 만송동 83-30번지,031-845-1111,7,,전기시설+상하수도시설+샤워실+화장실
양주송천캠핑장,야영장,37.7738432,126.9379691,경기도 양주시 백석읍 기산로440번길 74-20,경기도 양주시 백석읍 기산리 382-5번지,000-000-0000,18,,전기시설+상하수도시설+샤워실+화장실
일영모자농원캠핑장,야영장,37.7082969,126.9529389,경기도 양주시 장흥면 유원지로 316-1,경기도 양주시 장흥면 삼상리 10-17번지,031-855-5081,15,,전기시설+상하수도시설+샤워실+화장실
해피캠핑장,야영장,37.78092538,126.9439149,경기도 양주시 백석읍 기산로471번길 110,경기도 양주시 백석읍 기산리 302-6번지,000-000-0000,13,,전기시설+상하수도시설+샤워실+화장실
들꽃피는언덕 캠핑장,야영장,37.7760606,126.9600556,경기도 양주시 백석읍 권율로 870,경기도 양주시 백석읍 기산리 181-1번지,031-876-0072,6,,전기시설+상하수도시설+샤워실+화장실
황방농원 캠핑장,야영장,37.923267,126.993144,경기도 양주시 남면 양연로173번길 49,경기도 양주시 남면 황방리 140번지,031-864-0205,8,,전기시설+상하수도시설+샤워실+화장실
양주 탑 관광농원 글램핑장,야영장,37.81102441,127.1018472,경기도 양주시 어하고개로 48-1 (삼숭동),경기도 양주시 삼숭동 481-1번지,000-000-0000,27,,전기시설+상하수도시설+샤워실+화장실
별을 다는 아이,야영장,37.745014,126.950245,경기도 양주시 장흥면 권율로309번길 132,경기도 양주시 장흥면 석현리 336-3번지,000-000-0000,6,,전기시설+상하수도시설+샤워실+화장실
장흥숲길캠핑장,야영장,37.728978,126.951254,경기도 양주시 장흥면 권율로 156-116,경기도 양주시 장흥면 일영리 2-20번지,000-000-0000,18,,전기시설+상하수도시설+샤워실+화장실
스톤밸리캠핑장,야영장,37.8590464,127.0812979,경기도 양주시 칠봉산로228번길 126-5,경기도 양주시 봉양동 154-1번지,070-4415-2203,16,,전기시설+상하수도시설+샤워실+화장실
양주감악산캠핑장,자동차야영장,37.91427069,126.9562929,경기도 양주시 남면 감악산로 632-32,경기도 양주시 남면 신암리 199-1번지,000-000-0000,25,,전기시설+상하수도시설+샤워실+화장실
전원일기마을 오토 캠핑장,자동차야영장,37.6724125,126.9100036,경기도 양주시 장흥면 일영로327번길 227-19,경기도 양주시 장흥면 삼하리 210-1번지,000-000-0000,30,,전기시설+상하수도시설+샤워실+화장실
왕송호수캠핑장,야영장,37.305691,126.952793,경기도 의왕시 왕송못동로 295,경기도 의왕시 월암동 573,031-8086-7371,35,404,"상하수도, 전기, 화장실, 취사, 샤워실"
바라산자연휴양림,야영장,37.3669762,127.0194426,경기도 의왕시 북골안길 96,경기도 의왕시 학의동 산117-1,031-8086-7482,44,78,전기시설+상하수도시설+샤워실
청암관광농원,야영장,37.2674497,127.5159824,경기도 이천시 부발읍 황무로1720번길 74,경기도 이천시 부발읍 아미리 4-1번지,031-632-5082,10,60,짚라인
테르메덴,야영장,37.194977,127.445879,경기도 이천시 모가면 사실로 984 (테르메덴),경기도 이천시 모가면 신갈리 360번지,031-645-2000,15,20,물놀이장
이천캠핑랜드,야영장,37.2526724,127.4391191,경기도 이천시 이섭대천로941번길 49-44 (율현동),경기도 이천시 율현동 488-5번지,031-633-0700,67,100,물놀이장
거제자연휴양림,야영장,34.785614,128.625962,경상남도 거제시 동부면 거제중앙로 325,경상남도 거제시 동부면 구천리 산 103번지,055-639-4354,77,50,"화장실, 취사장, 샤워장, 매점"
북캠프지오,야영장,34.728981,128.605579,경상남도 거제시 남부면 명사해수욕장길 48,경상남도 거제시 남부면 저구리 266,055-634-1290,7,15,"야외화장실, 취사장, 샤워장"
문화관광농원청소년야영장,야영장,34.789311,128.579958,경상남도 거제시 동부면 가배오송길 123(문화관광농원),경상남도 거제시 동부면 오송리 771-23,055-633-5955,32,50,"화장실, 개수대, 샤워실"
트로피칼드림,야영장,34.818706,128.709529,,경상남도 거제시 일운면 와현리 497번지,055-621-5550,8,10,화장실
거제글램퍼스,야영장,34.814698,128.665255,경상남도 거제시 일운면 망치4길 38,경상남도 거제시 일운면 망치리 252,000-0000-0000,7,5,개별화장실
옥계마을회영농조합법인,야영장,34.978233,128.630818,경상남도 거제시 하청면 칠천로 265-17,경상남도 거제시 하청면 연구리 416,000-0000-0000,28,20,화장실
글램핑힐,야영장,34.892763,128.655247,경상남도 거제시 수양1길 92-5,경상남도 거제시 수월동 122-12,055-632-7577,9,20,개별화장실
학동자동차아영장,자동차야영장,34.777022,128.643067,경상남도 거제시 동부면 거제대로 981,경상남도 거제시 동부면 학동리 221-1,055-635-5421,174,100,"화장실, 개수대, 샤워실"
블루웨일,야영장,34.923708,128.301415,경상남도 고성군 삼산면 두포5길 113-139,경상남도 고성군 삼산면 두포리 177-16,055-673-4994,29,30,"화장실, 샤워실, 취사장"
청광새들녘영농조합법인야영장,야영장,35.114608,128.309115,경상남도 고성군 개천면 영회로 1296,경상남도 고성군 개천면 청광리 521-4,055-672-7985,19,23,"화장실, 샤워실, 취사장"
폴라리스야영장,야영장,35.06362525,128.478663,경상남도 고성군 동해면 조선특구로 2126,경상남도 고성군 동해면 내산리 102-4,000-0000-0000,10,10,"화장실, 샤워실, 취사장"
라파엘 펜션 글램핑,야영장,35.046762,128.382838,경상남도 고성군 회화면 당항만로 949,경상남도 고성군 회화면 당항리 543,055-673-8318,21,30,"화장실, 샤워실, 취사장"
얼음골 야영장,야영장,34.983078,128.178247,경상남도 고성군 상리면 삼상로 1411,경상남도 고성군 상리면 동산리 135-2,055-673-0848,14,20,"화장실, 샤워실, 취사장"
블루웨일 빌리지,야영장,34.923708,128.301415,경상남도 고성군 삼산면 두포5길 113-109,경상남도 고성군 삼산면 두포리 177-16,055-673-4994,14,30,"화장실, 샤워실, 취사장"
고성 잔디 캠핑장,야영장,34.952387,128.215264,경상남도 고성군 하일면 공룡로 1287,경상남도 고성군 하일면 용태리 479,000-0000-0000,7,14,"화장실, 샤워실, 취사장"
고성공룡박물관야영장,야영장,34.910855,128.156619,경상남도 고성군 하이면 월흥리 962번지,경상남도 고성군 하이면 월흥리 962,055-670-4463,50,225,"화장실, 샤워실, 취사장"
남산공원 오토캠핑장,자동차야영장,34.955966,128.327844,경상남도 고성군 고성읍 공룡로 3165,경상남도 고성군 고성읍 신월리 657-1,055-670-2234,44,44,"화장실, 샤워실, 취사장"
당항포관광지 오토캠핑장,자동차야영장,35.053169,128.392088,경상남도 고성군 회화면 당항만로 1116,경상남도 고성군 회화면 당항리 112-2,055-670-4501,237,237,"화장실, 샤워실, 취사장"
연화산 반딧불이 캠핑장,자동차야영장,35.052855,128.204412,경상남도 고성군 영현면 고봉로 613-36,경상남도 고성군 영현면 봉림리 44-9,000-0000-0000,40,40,"화장실, 샤워실, 취사장"
고성 장좌리 캠핑장,자동차야영장,35.009637,128.449522,경상남도 고성군 동해면 구절로 200,경상남도 고성군 동해면 장좌리 1029-1,055-672-5814,24,24,"화장실, 샤워실, 취사장"
아트 앤 체험캠프,자동차야영장,34.999495,128.286016,경상남도 고성군 대가면 무량로 251,경상남도 고성군 대가면 연지리 279,000-0000-0000,45,45,"화장실, 샤워실, 취사장"
고성 다이노 캠핑장,자동차야영장,34.922911,128.299234,경상남도 고성군 삼산면 두포5길 193,경상남도 고성군 삼산면 두포리 174,055-672-7992,34,34,"화장실, 샤워실, 취사장"
충효테마관광농원야영장,자동차야영장,35.024804,128.291627,경상남도 고성군 대가면 유흥갈천길 240,경상남도 고성군 대가면 척정리 산241-1,000-0000-0000,35,35,"화장실, 샤워실, 취사장"
고성패밀리캠핑장,자동차야영장,34.993864,128.219546,경상남도 고성군 상리면 상정대로 1186,경상남도 고성군 상리면 망림리 528-4,000-0000-0000,31,31,"화장실, 샤워실, 취사장"
놀터캠핑장,자동차야영장,35.070391,128.450534,경상남도 고성군 동해면 외산로 353,경상남도 고성군 동해면 외산리 792,000-0000-0000,21,21,"화장실, 샤워실, 취사장"
김해생림오토캠핑장,자동차야영장,35.365426,128.812029,경상남도 김해시 생림면 마사리 1322-6번지,경상남도 김해시 생림면 마사리 1322-6번지,055-338-9925,93,113,"화장실, 샤워실"
삼장다목적캠핑장,야영장,35.306948,127.833313,경상남도 산청군 삼장면 친환경로 409-28,경상남도 산청군 삼장면 덕교리 842,055-973-7176,79,96,"화장실, 취사장"
내원자동차야영장,야영장,35.296968,127.81251,,경상남도 산청군 삼장면 대포리 산106-2,055-972-7775,53,107,"화장실,취사장"
한방자연휴양림,야영장,35.441508,127.830562,경상남도 산청군 금서면 동의보감로555번길 186,경상남도 산청군 금서면 특리 1300-86,055-970-6652,13,38,"화장실, 샤워실,취사장"
중산리야영장,야영장,35.306684,127.747967,경상남도 산청군 시천면 지리산대로 320-2,경상남도 산청군 시천면 중산리 634-4,055-972-7785,27,178,"화장실, 취사장"
소막골야영장,야영장,35.351027,127.815843,,경상남도 산청군 삼장면 평촌리 산118-1,055-972-7775,28,28,"화장실, 취사장"
금헌힐링캠핑장,야영장,35.325326,127.923755,경상남도 산청군 단성면 석대로281번길 229-19,경상남도 산청군 단성면 방목리 912-8,000-0000-0000,79,79,"화장실,샤워실,취사장"
지리산대경캠핑장,야영장,35.272265,127.778147,경상남도 산청군 시천면 지리산대로 855,경상남도 산청군 시천면 동당리 577,000-0000-0000,30,30,"화장실,샤워실,취사장"
별헤는밤 캠핑장,야영장,35.380577,127.963814,경상남도 산청군 신안면 둔철산로 575-26,경상남도 산청군 신안면 안봉리 1045-9,055-973-6777,44,44,"화장실,샤워실,취사장"
느티나무야영장,야영장,35.371554,127.78163,,경상남도 산청군 삼장면 유평리 233,000-0000-0000,16,20,"화장실,샤워실,취사장"
산청별천지캠핑장,야영장,35.333273,127.895365,경상남도 산청군 단성면 호암로701번길 139,경상남도 산청군 단성면 운리 90-12,000-0000-0000,12,15,"화장실,샤워실,취사장"
휘림캠핑장,야영장,35.32149,127.90307,경상남도 산청군 단성면 호암로 702-22,경상남도 산청군 단성면 운리 235,000-0000-0000,16,20,"화장실,샤워실,취사장"
W글램핑,야영장,35.393017,127.885807,경상남도 산청군 산청읍 웅석봉로 285번길 80-20,경상남도 산청군 산청읍 내리 741,055-974-3642,1,15,"화장실,샤워실,취사장"
백운계곡캠핑장,야영장,35.295479,127.888356,경상남도 산청군 단성면 백운로51번길 220-16,경상남도 산청군 단성면 백운리 389-1,000-0000-0000,12,20,"화장실,샤워실,취사장"
둘레길관광농원,야영장,35.243412,127.793455,,경상남도 산청군 시천면 신천리 158-2,000-0000-0000,34,34,"화장실,샤워실,취사장"
계림정야영장,야영장,35.351576,127.841138,,경상남도 산청군 삼장면 홍계리 1054-3,000-0000-0000,25,25,"화장실,취사장"
지리산노을,야영장,35.318867,127.907731,경상남도 산청군 단성면 호암로632번길 75,경상남도 산청군 단성면 청계리 353-7,000-0000-0000,1,4,"화장실, 취사장, 샤워장"
산청지막계곡캠핑장,야영장,35.386418,127.818995,경상남도 산청군 금서면 왕등재로 307,경상남도 산청군 금서면 지막리 산147-5,055-974-2800,29,30,"화장실, 취사장, 샤워장"
든해솔계곡캠핑장,야영장,35.402927,127.963875,경상남도 산청군 신등면 척지로475번길 142-12,경상남도 산청군 신등면 모례리 830-7,000-0000-0000,9,10,"화장실,취사장"
경호강야영장,야영장,35.35702,127.916392,경상남도 산청군 단성면 호암로1320번길 88-1,경상남도 산청군 단성면 방목리 627-2,000-0000-0000,34,35,"화장실, 취사장, 샤워장"
지리산숲속의쉼터,야영장,35.282803,127.721066,경상남도 산청군 시천면 세석길 195-15,경상남도 산청군 시천면 내대리 978,000-0000-0000,12,15,"화장실, 취사장, 샤워장"
BABO글램핑,야영장,35.385034,128.066994,경상남도 산청군 생비량면 상능로150번길 178,경상남도 산청군 생비량면 제보리 산135,000-0000-0000,4,15,"화장실, 취사장, 샤워장, 카페, 농구장, 족구장"
지리산리조트글램핑,야영장,35.295933,127.755458,경상남도 산청군 시천면 지리산대로511번길 11-33,경상남도 산청군 시천면 중산리 549,055-974-5757,5,10,"화장실, 취사장, 샤워장"
경호강 카라반,야영장,35.357152,127.916056,경상남도 산청군 단성면 호암로1320번길 884외 2필지,"경상남도 산청군 단성면 방목리 626-6, 7, 8",000-0000-0000,1,10,"화장실, 취사장, 샤워장"
송백농원캠핑장,야영장,35.444432,129.048019,경상남도 양산시 외석길 76-26,경상남도 양산시 상북면 외석리 315,055-374-2948,15,15,상하수도+ 전기시설+ 화장실+ 샤워실
대운산 자연휴양림 캠핑장,야영장,35.417683,129.203843,경상남도 양산시 탑골길 208-124,경상남도 양산시 용당동 산66,055-379-8670,95,150,상하수도+ 화장실+ 샤워실
파래소 가든,야영장,35.523518,129.009275,경상남도 양산시 청수골길 43-21,경상남도 양산시 원동면 선리 99,052-264-1999,5,5,상하수도+ 화장실+ 샤워실
양산 파브르 캠핑장,야영장,35.331029,129.027508,경상남도 양산시 양주로 32,경상남도 양산시 남부동 608-4,000-0000-0000,13,13,상하수도+ 전기시설+ 화장실+ 샤워실
지금부터 힐링캠프,야영장,35.389801,129.139003,경상남도 양산시 신명3길 152,경상남도 양산시 주진동 583-41,070-4623-1833,11,10,상하수도+ 전기+ 화장실+ 취사시설+ 샤워실
무릉도원,야영장,35.426169,128.933599,경상남도 양산시 어영길 170,경상남도 양산시 원동면 영포리 702-2,000-0000-0000,21,10,상하수도+ 화장실+ 샤워실
사지목 나무그늘,야영장,35.394858,128.946923,경상남도 양산시 늘밭로 201,경상남도 양산시 원동면 내포리 573-2,000-0000-0000,8,10,상하수도+ 화장실
원동자연 휴양림,야영장,35.397484,128.938108,경상남도 양산시 늘밭로 69,경상남도 양산시 원동면 내포리 산178-5,055-386-2678,35,50,상하수도+ 화장실+ 취사시설
천태산 오토캠핑장,야영장,35.431932,128.927328,경상남도 양산시 어영길 263-14,경상남도 양산시 원동면 영포리 926-1,000-0000-0000,8,8,상하수도+ 전기+ 화장실+ 취사시설+ 샤워실
아름빌,야영장,35.429293,128.933669,경상남도 양산시 어영길 202,경상남도 양산시 원동면 영포리 712,055-383-5566,16,30,상하수도+ 전기시설+ 화장실+ 샤워실
캠핑 라운드,야영장,35.402957,129.063446,경상남도 양산시 구소석5길 20,경상남도 양산시 상북면 석계리 900-1,000-0000-0000,9,10,상하수도+ 전기+ 화장실+ 취사시설+ 샤워실
작은캠프 엔 하우스,야영장,35.489598,129.085356,경상남도 양산시 신평강변2길 5,경상남도 양산시 하북면 순지리 756-16,000-0000-0000,10,12,상하수도+ 전기+ 화장실+ 취사시설+ 샤워실
황산 캠핑장,야영장,35.301444,128.989434,경상남도 양산시 물금리 225-1,경상남도 양산시 물금읍 물금리 225-1,055-386-2550,115,80,상하수도+ 전기+ 화장실+ 취사시설+ 샤워실
포시즌,야영장,35.392053,128.920486,경상남도 양산시 원동면 원동로 1817-34,경상남도 양산시 원동면 원리 49-8,000-0000-0000,5,6,"상하수도, 전기, 화장실, 취사시설, 샤워실"
에덴밸리나마스떼글램핑장,야영장,35.429582,128.987638,경상남도 양산시 원동면 어실로 1206,경상남도 양산시 원동면 대리 1040-14,000-0000-0000,3,0,"상하수도, 화장실, 취사시설, 샤워실"
소석힐링캠핑장,야영장,35.404333,129.051633,경상남도 양산시 상북면 공원로 69,경상남도 양산시 상북면 소석리 163,055-367-1577,15,20,"상하수도, 전기, 화장실, 취사시설, 샤워실"
구미캠핑장,야영장,36.138669,128.375045,경상북도 구미시 낙동제방길 200 (양호동),경상북도 구미시 양호동 614-1,054-480-2184,186,300,"전기시설, 화장실,샤워실,개수대,매점"
청화산캠프 관광농원,야영장,36.306827,128.462185,경상북도 군위군 소보면 소보안계로 646-36,,054-383-8100,8,15,카라반+편의점+주차장
팔공SS오토캠핑장,자동차야영장,36.030042,128.630476,경상북도 군위군 부계면 한티로 1525-6,,054-382-0007,38,10,주차장
아날로그데이,자동차야영장,36.049944,128.654776,,경상북도 군위군 부계면 대율리 1257-4,054-382-1275,8,10,편의점+주차장
